idpaper,referencia,tiporef,anoref,siglaref,idiomaref,id_referencias,ni,trad.sn
4507,"Nardi, B. (1993) A Small Matter of Programming. Cambridge, Ma. The MIT Press",L,1993,MIT Press,EN,33,,
4507,"Pattis,R.E.; Roberts,J.; and Stehlik,M. (1995) Karel the Robot: A Gentle Introduction to the Art of Programming. New York, N.Y. John Wiley and Sons.",L,1995,Wiley,EN,34,,
4507,"Payne. S.J. Interface Problems and Interface Resources. In Carroll, J. (ed.) Designing Interactions: Psychology at the Human-Computer Interface. Cambridge University Press. Cambridge, Ma.",L,,Cambridge University,EN,35,,
4507,"Peirce, C.S. (1931) Collected Papers. Cambridge, Ma. Harvard University Press. (excerpted in Buchler, Justus, ed., Philosophical Writings of Peirce, New York: Dover, 1955)",L,1955,Harvard University Press,EN,36,,
4508,"BARTHET, M. F. (1988). Logiciels Interactifs et Ergonomie - Modèles et méthodes de conception, Dunod Informatique, 1988.",L,1988,,FR,37,,
4508,"BASTIEN, C. & SCAPIN , D. (1993). Ergonomic Criteria for the Evaluation of Human-Computer Interfaces. (Relatório de Pesquisa Nº. 156). INRIA -Institut National de Recherche en Informatique et en Automatique, Rocquencourt, França.",R,1993,INRIA,FR,38,,
4508,"BASTIEN, C. & SCAPIN , D. L. (1995). Evaluating a user interface with ergonomic criteria. International Journal of Human-Computer Interaction, 7, 105-121.",P,1995,IJHCI,EN,39,,
4508,"BASTIEN, J. M. C., & SCAPIN, D. L. (1992). A validation of ergonomic criteria for the evaluation of humancomputer interfaces. International Journal of Human-Computer Interaction, 4(2), 183-196.",P,1992,IJHCI,EN,40,,
4508,"BENYON, D. (1992). The role of task analysis and systems design. Interacting with Computer, 4 (1), 1992.",P,1992,IwC,EN,41,,
4508,"CISSÉ, A.; PIMENTA, M.S. (1996). Requirements Engineering as an Emergent Process. In: Proc. of Fifth European Workshop on Software Process Technology (EWSPT 96), October 1996, Nancy, France, Lecture Notes in Computer Science (LNCS) N. 1149, Springer Verlag.",C,1996,EWSPT,EN,42,,
4508,"CYBIS, W, & MOÇO, S. (1997) Técnica de elaboração de cenários visando os ensaios de interação. In. Anais do 8 Congresso Brasileiro de Ergonomia, Florianópolis, SC",C,1997,Congresso Brasileiro de Ergonomia,PT,43,,
4508,"CYBIS, W. A. (1994), A identificação dos objetos de interfaces homem-computador e de seus atributos ergonômicos. Tese de Doutorado, Programa de Pós-Graduação em Engenharia de Produção, Universidade Federal de Santa Catarina, Brasil.",T,1994,Doutorado,PT,44,,
4508,"CYBIS, W. A. (1997), Desenvolvimento de técnicas de inspeção ergonômica de sistemas interativos. In. Anais do 8 Congresso Brasileiro de Ergonomia, Florianópolis, SC",O,1997,Congresso Brasileiro de Ergonomia,PT,45,,
4508,"GAMEZ, L. Técnica de inspeção de conformidade ergonômica de software educacional. Dissertação deMestrado, Programa de Pós-Graduação em Engenharia Humana - Universidade do Minho, Guimarães Portugal (a ser publicado).",D,,Mestrado,PT,46,,
4508,"JACOBSON, I. et all. (1992). Object oriented software engeneering. ACM Press, Addison-Wesley, 1992.",L,1992,Addison-Wesley,EN,47,,
4508,"JEFFRIES, R., MILLER. J., WHARTON, C. & UYEDA, K. (1991) User interface evaluation in the real world: a comparison of four techniques. In CHI 91 Human Factors in Computing Systems, New Orleans.",C,1991,CHI,EN,48,,
4508,"JOHNSON, P. (1992). Human-Computer Interaction: Psycology, task analysis and software engineering, Mc-Graw Hill, Maidenhead, UK, 1992.",L,1992,McGraw -Hill,EN,49,,
4508,"LAVILLE, A. (1977). Ergonomia (First ed.) São Paulo: Editora Pedagógica e Universitária Ltda.",L,1977,EDITORA PEDAGÓGICA E UNIVERSITÁRIA,PT,50,,
4508,"PIMENTA, M.S. (1997). TAREFA: Une Approche pour L?Ingénierie des Besoins des Systèmes Interactifs, Thèse de Doctorat en Informatique, Université Toulouse 1, Outubro de 1997, Toulouse, França.",T,1997,Doctorat,FR,51,,
4508,"PIMENTA, M.S.; BARTHET, M.-F. (1996a). Context Modelling for an Usability Oriented Approach to Interactive Systems Requirements Engineering. In: Proc. of IEEE International Symposium and Workshop on Engineering of Computer Based Systems (ECBS 96), March 1996, Friedrichshafen, Germany.",C,1996,ECBS,EN,52,,
4508,"PIMENTA, M.S.; BARTHET, M.-F. (1996b) Task Organisational Context Modelling: an Approach for Improving Interactive Systems Usability. In: In: Proc. of First International Conference on Applied Ergonomics (ICAE 96), May 1996, Istanbul, Turkey.",C,1996,ICAE,EN,53,,
4508,"PIMENTA, M.S.; FAUST, R. (1997). Eliciting Interactive Systems Requirements in a Language-Centred User-Designer Collaboration. In: ACM SIGCHI Bulletin, V. 29, N.1, January 1997.",O,1997,Bulletin,EN,54,,
4508,"POLLIER, A. (1991). Evaluation d?une interface par des ergonomes: diagnostiques et stratégies Rapport de Recherche Nº 1391. INRIA.",R,1991,INRIA,FR,55,,
4508,"RICHARD, J. F. (1983). Logique du fonctionnement et logique de l?utilisation. Rapport de Recherche 202, Rocquencourt, France: INRIA.",R,1983,INRIA,FR,56,,
4508,"SEBILLOTTE, S. & SCAPIN, D.L. (1994). From users? task knowledge to high level interface specification. International Journal of Human-computer Interaction, 6, 1-15.",P,1994,IJHCI,EN,57,,
4508,"SILVEIRA, M. C. Técnica de Inspeção de conformidade ergonômica de software interativo voltada à componentes. Dissertação de Mestrado, Programa de Pós-Graduação em Engenharia de Produção, Universidade Federal de Santa Catarina, Florianópolis, Brasil (a ser publicado).",D,,Mestrado,PT,58,,
4508,"VALENTIN, A., VALLERY, G & LUCONGSANG, R. (1993). L évaluation ergonomique des logiciels; une démarche interative de conception (first ed.). Paris: ANACT.",L,1993,ANACT,FR,59,,
4508,"VANDERDONCKT, J. (1996). Current trends in computer aided design of user interface. In Proc. of 2th International Workshop on Computer-Aided Design of User Interfaces (CADUI?96),Namur, Belgique, 5-7 June 1996, Vanderdonckt, J. (ed.), Presses Universitaires de Namur.",C,1996,CADUI,EN,60,,
4508,"ZAVE, P. (1995). Classification of research efforts in requirements engeneering. Used as classification scheme for the Second IEEE Intl. Symposium on Requirements Engineering 1995.",C,1995,RE,EN,61,,
4509,"Anselmo, M. V. - ?Projeto: Animação Facial?, resumo disponível a partir de: http://www.dc.ufscar.br/~grv/marcus.htm",O,,,PT,62,,
4509,"Byrne, C. M. - ""The Use of Virtual Reality as Educational Tool"", Washington University, 1995.",L,1995,Washington University,EN,63,,
4509,"Chi, Uli H., - ""Formal Specification of User Interfaces: A Comparison and Evaluation of Four Axiomatic Approaches"", IEEE Transactions on Software Engineering, Agosto 1985, Vol. SE-11, No. 8, pp. 671-685.",P,1985,TOSE,EN,64,,
4509,"Hancock, D. - ""Viewpoint: Virtual Reality in Search of Middle Ground"", IEEE Spectrum, 32(1):68, Jan. 1995.",P,1995,IEEE Spectrum,EN,65,,
4509,"Kalawsky, R.S. - ""Exploring Virtual Reality Techniques in Education and Training: Technological Issues"", Advanced VR Research Centre, Lough-borough University of Technology.",L,1993,Lough-borough University of Technology,EN,66,,
4509,"Kirner, C. et al. - ""Projeto Professor Virtual"", Grupo de Realidade Virtual da Universidade Federal de São Carlos. http://www.dc.ufscar.br/~grv/pvirtual.htm.",O,,http,PT,67,,
4509,"Kirner, C. et al. ? ?Sistemas de Realidade Virtual?, Apostila do I Ciclo de Palestras de Realidade Virtual, Universidade Federal de São Carlos, Outubro 1996, http://www.dc.ufscar.br/~grv/tutrv.htm. 54 p.",O,1996,,PT,68,,
4509,"Silva, J.C.A. - ""Uso de Gabaritos Configuráveis para Desenvolvimento de Interfaces Virtuais"", Anais do 1o Workshop de Realidade Virtual, São Carlos, SP, Novembro de 1997, p. 81-90.",C,1997,WRV,PT,69,,
4509,"Teixeira, R. ""Requisitos de Ambientes Virtuais Distribuídos de Larga Escala"", Workshop de Realidade Virtual WRV?97), 9-12 de Novembro de 1997, pp. 26-35.",C,1997,WRV,PT,70,,
4509,"Van Dam, A. - ""Post-WIMP User Interfaces"", Communications of ACM, vol. 40, n. 2, Feb. 1997, p. 63-67.",P,1997,CACM,EN,71,,
4510,"Burgy, D. et al. Task analysis of nuclear power plant control room crews. United States Nuclear Regulatory Commission. 1983. (NUREG/CR-3371)",O,1983,,EN,72,,
4510,"Dougherty, E. M.; Fragola, J. R. Human reliability analysis - a system engineering approach with nuclear power plant applications. John Wiley& Sons, 1988.",L,1988,Wiley,EN,73,,
4510,"Embrey, D.E.. Human reliability. In: Serra, A.; Barlow, R.E. Teoria dell Affidabilità. 1986. p.465-490.",O,1986,,,74,,
4510,"Evans, B. Cockpit automation: The Good, the Bad, and the Ugly; Avionics Magazine, May 1998, pg 34-38.",P,1998,Avionics,EN,75,,
4510,"Hollnagel, E. Human Reliability Analysis - Context and Control; Academic Press, 1993, 336 p.",L,1993,,EN,76,,
4510,"LaSala, K.P; Filgueiras, L.V.L; Gigley, H.; Ullman, R. Designing Systems for Reliable Human Performance, IEEE Tutorial Video, 1997.",O,1997,TUTORIAL,EN,77,,
4510,"Lee, K.W.; Tillman, F.A.; Higgins, J.J.; A Literature Survey of the Human Reliability Component in a Man-Machine System; IEEE Transactions on Reliability, vol. R-37, no. 1, april 1988, p.24-34",P,1988,IEEE Transactions on Reliability,EN,78,,
4510,"Nielsen, J. Usability Engineering, Academic Press, 1993",L,1993,,EN,79,,
4510,"Rasmussen, J.; The role of hierarchical representation in decision making and system management. IEEE Transactions on Systems, Man and Cybernetics. v. SMC(15), p. 234-243, 1985",P,1985,TransSMC,EN,80,,
4510,"Swain, A.D.; Guttmann, H.E. Handbook of human reliability analysis with emphasis on nuclear power plant applications. United States Nuclear Regulatory Commission. 1983. (NUREG/CR-1278)",O,1983,,EN,81,,
4511,"Boie, B., Hill, M., & Schloss, A. (1989). The Radio Drum as a Synthesizer Controller. In International",C,1989,ICMC,EN,82,,
4511,"Davies, H. (1989). A History of Sampling. Experimental Musical Instruments, 5(2), 17-19.",P,1989,EMI,EN,83,,
4511,"Dodge, C., & Jerse, T. A. (1985). Computer Music: Synthesis, Composition, and Performance. New York: Schirmer Books.",L,1985,,EN,84,,
4511,"Gorne, A. V. (Ed.). (1991). Vous avez dit Acousmatique? Belgique: Editions Musiques et Recherches.",L,1991,Editions Musiques et Recherches,FR,85,,
4511,"Iazzetta, F. (1996). Formalization of Computer Music Interaction Through a Semiotic Approach. Journal of New Music Research, 25(3), 212-230.",P,1996,ournal of New Music Research,EN,86,,
4511,"Iazzetta, F. (1997a). A Música, o Corpo e as Máquinas. Opus: Revista da Associação Nacional de Pesquisa e",P,1997,OPUS,PT,87,,
4511,"Iazzetta, F. (1997b). Sons de Silício: Corpos e Máquinas Fazendo Música. Tese de Doutorado em Comunicação e Semiótica, Pontifícia Universidade Católica de São Paulo.",T,1997,Doutorado,PT,88,,
4511,"Jaffe, D. A., & Schloss, W. A. (1994). The Computer-Extended Ensemble. Computer Music Journal, 18(2), 78-",P,1994,Computer Music Journal,EN,89,,
4511,"Mackay, A. (1981). Electronic Music. Oxford: Phaidon.",L,1981,Oxford,EN,90,,
4511,"McCartney, J. (1996). SuperCollider. Austin: Software distribuído pelo autor.",O,1996,Software,EN,91,,
4511,"Rich, R. (1991). Buchla Lightning MIDI Controller. Electronic Musician, October, 102-108.",O,1991,Electronic Musician,EN,92,,
4511,"Rich, R. (1996). Buchla Lightning II. Electronic Musician, August, 118-121.",O,1996,Electronic Musician,EN,93,,
4511,"Rosenboom, D. (Ed.). (1976). Biofeedback and the Arts, Results of Early Experiments (2ª ed.). Vancouver:",L,1976,Aesthetic Research Centre of Canada,EN,94,,
4511,"Schaeffer, P. (1966). Traité des Objects Musicaux. Paris: Éditions du Seuil.",L,1966,Éditions,FR,95,,
4511,"Smalley, D. (1992). The Listening Imagination: Listening in the Electroacoustic Era. In T. H. John Paynter",P,1992,Comtemporany Music Review,EN,96,,
4511,"Wishart, T. (1992). Music and Technology: Problems and Possibilities. In T. H. John Paynter Richard Orton,",L,1992,,EN,97,,
4511,"Zachary, W. W., & Robertson, S. P. (1990). Introduction to Cognition, Computation, and Cooperation. In W. W. Z. &. J. B. Black (Ed.), Cognition, Computing and Publishing Corporation.Cooperation (pp. 1-21). Norwood, New Jersey: Ablex",L,1990,,EN,98,,
4512,"A. R. Puerta. A Model-Based Interface Development Environment. IEEE Software, 14(4):40{47, August 1997.",P,1997,IEEE Software,EN,99,,
4512,Aesthetic Research Centre of Canada Publications.,,,,,100,,
4512,"Ben Shneiderman. Designing the User Interface: Strategies for E_x000B_ective Human-Computer Interaction. Addison-Wesley, third edition, 1998.",L,1998,Addison-Wesley,EN,101,,
4512,"Brad A. Myers. Challenges of HCI Design and Implementation. Interactions, 1(1):73{83, 1994.",P,1994,ACM interactions,EN,102,,
4512,"C. Huizing and W. P. de Roever. Introduction to Design Choices in the Semantics of Statecharts. Information Processing Letters, 37:205{213, 1991.",P,1991,Information Processing Letters,EN,103,,
4512,"Computer Music Conference, (pp. 42-45). Ohio, USA: ICMA.",C,,Computer Music Conference,EN,104,,
4512,"D. Harel. Statecharts: A Visual Formalism for Complex Systems. Science of Computer Programming, 8(3):231-274, June 1987.",P,1987,Science of Computer Programming,EN,105,,
4512,"D. Salber, L. Nigay, and Joelle Coutaz. Extending the Scope of PAC-Amodeus to Cooperative Systems. Proceedings of CSCW, pages 22{26, October 1994.",C,1994,CSCW,EN,106,,
4512,"Daniel Klein. Developing Applications with the Alpha UIMS. Interactions, 2(4):48{65, October 1995.",P,1995,ACM interactions,EN,107,,
4512,"Deborah Hix and H. Rex Hartson. Developing User Interfaces: Ensuring Usability Through Product & Process. John Wiles & Sons, Inc., 1993. ISBN 0471-57813-4.",L,1993,John Wiles & Sons,EN,108,,
4512,"Fábio N. Lucena and Hans K. E. Liesenberg. A Statechart Engine to Support Implementations of Complex Behaviour. XXI Semish, pages 177{191, 1994. Caxambu/MG, Brazil.",C,1994,SEMISH,PT,109,,
4512,"Gérard Berry and Georges Gonthier. The ESTEREL Synchronous Programming Language: design, semantics, implementation. Science of Computer Programming, 19(2):87{152, November 1992.",P,1992,Science of Computer Programming,EN,110,,
4512,"João W. L. Cangussu, Paulo C. Masiero, and Jos_x0013_e C. Maldonado. Execu_x0018_cão Programada de Statecharts. Revista Brasileira de Computa_x0018_c~ao, 7(2):3{14, Jun 1994.",P,1994,RBC,PT,111,,
4512,"Len Bass and Prasun Dewan, editors. User Interface Software. Trends in Software. John Wiley & Sons Ltd, 1993.",L,1993,WILEY,EN,112,I,N
4512,"Luciana de Paula Brito. Suporte de Transa_x0018_c~ao Atômica para a Linguagem Xchart. Master s thesis, dcc/imecc/unicamp, Campinas/SP, 1996.",D,1996,Mestrado,EN,113,,
4512,"Mark Green and Robert Jacob. SIGGRAPH 90 Workshop Report: Software Architectures and Metaphors for Non-WIMP User Interfaces. Computer Graphics, 25(3):229{235, July 1991.",P,1991,Computer Graphics,EN,114,,
4512,"Pós-Graduação em Música, IV(4), 27-44.",,,,,115,,
4512,"Peter Seymor (Ed.), Companion to Contemporary Musical Thought (pp. 565-582). London / New York:",L,1992,,EN,116,,
4512,"Pierre D. Wellner. Statemaster: A UIMS based on Statecharts for Prototyping and Target Implementation. In Proceedings SIGCHI 89, pages 177{182, April 1989.",C,1989,CHI,EN,117,,
4512,"Ralph D. Hill, Tom Brinck, Steven L. Rohall, John F. Patterson, and Wayne Wilner. The Rendezvous Architecture and Language for Constructing Multiuser Applications. Transactions on Computer-Human Interaction, 1(2):81{125, June 1994.",P,1994,TOCHI,EN,118,,
4512,"Ralph D. Hill. Supporting Concurrency, Communication, and Synchronization in Human-Computer Interaction-The Sassafras UIMS. ACM TOG, 5(3):179{210, July 1986.",P,1986,ACM TOG,EN,119,,
4512,"Richard Orton, Peter Seymor (Ed.), Companion to Contemporary Musical Thought (pp. 514-554). London /",,1992,,,120,,
4512,"Rosemeire Shibuya, Rosângela D. Penteado, and Paulo C_x0013_esar Masiero. Gera_x0018_cão de C_x0013_ódigo a partir de Modelos Comportamentais Especi_x000C_cados por Statecharts. VIII Simp_x0013_ósio Brasileiro de Engenharia de Software, pages 253{267, October 1994.",C,1994,SBES,PT,121,,
4512,"William M. Newman. A System for Interactive Graphical Programming. Proceedings of the Spring Joint Computer Conference, pages 47{54, 1968.",C,1968,Spring Joint Computer Conference,EN,122,,
4513,"Adler, Paul S. & Winograd, Terry A. The Usability Challenge, In Usability: Turning Technologies into Tools, Edited by Paul Adler & Terry Winograd, Oxford University Press, 1992.",L,1992,Oxford University Press,EN,123,,N
4513,"Andersen, P. B. A Theory of Computer Semiotics, Cambridge University Press, Cambridge, 1990.",L,1990,Cambridge University,EN,124,,
4513,"Booth, Paul A. An Introduction to Human-Computer Interaction, Lawrence Erlbaum Associates, Publishers, 1989.",L,1989,Erlbaum,EN,125,,
4513,"Carrol, John M. & Mack, Robert L. & Kellogg, Wendy A. Interface Metaphors and User Interface Design, In Handbook of Human-Computer Interaction, M. Helander (eds.), North-Holland, 1988.",L,1988,North-Holland,EN,126,,
4513,"Eco, Umberto Tratado Geral de Semiótica, Editora Perspectiva, 2a. edição, 1976.",L,1976,ed. perspectiva,PT,127,,
4513,"Foley, James D. & van Dam, Andries & Feiner, Steven K. & Hughes, John F. Computer Graphics Principles and Practice. Addison-Wesley Publishing Company, Second Edition, 1993.",L,1993,Addison-Wesley,EN,128,,
4513,"Jackendoff, R. Consciousness and the Computational Mind, Massachusetts Institute Technology, 1987.",L,1987,MIT Press,EN,129,,
4513,"Jackendoff, R. Semantic and Cognition, Massachusetts Institute of Technology, 1983.",L,1983,MIT Press,EN,130,,
4513,"Kammersgaard, J. Four Different Perspectives on Human-Computer Interaction, In International Journal of Man-Machine Studies, no. 28, pp 343-362, 1988.",P,1988,IJMMS,EN,131,,
4513,"Lakoff, G. & Johnson, M. Metaphors We Live By, The University of Chicago Press, 1980.",L,1980,THE UNIVERSITY OF CHICAGO PRESS,EN,132,I,N
4513,"Martins, Isa H. Um Instrumento de Análise Semiótica para Linguagens Visuais de Interfaces, Tese de Doutorado,Departamento de Informática, PUC-Rio, Abril/98.",T,1998,Doutorado,PT,133,,
4513,"Mullet, Kevin & Sano, Darrell Designing Visual Interfaces, Sun Microsystems, Inc, 1995.",L,1995,Sun Microsystems,EN,134,,
4513,"Norman, D. A. & Draper, S.W. User Centered System Design. Hillsdale, NJ, Lawrence Erlbaum Associates, 1986.",L,1986,Hillsdale,EN,135,,
4513,"Saint-Martin, F. Semiotics of Visual Language, Indiana University Press, 1990.",L,1990,Indiana University Press,EN,136,,
4513,"Sebeok, T. Signs: An Introduction to Semiotics, Toronto University Press, Toronto, 1995.",L,1995,Toronto University Press,EN,137,,
4513,"Souza, Clarisse S. de A Semiotic Approach to User Interface Language Design. CSLI - Stanford University. Report No. CSLI-92-166, PCD-6, 1992.",R,1992,report,EN,138,,
4513,"Souza, Clarisse S. de The Semiotic Engineering of User Interface Languages. In International Journal of Man Machine Studies 39, 753-773, 1993.",P,1993,IJMMS,EN,139,,
4513,"Stefik, Mark Introduction to Knowledge Systems. Morgan Kaufmann Publishers, Inc, 1995.",L,1995,Morgan Kaufmann,EN,140,,
4514,"D. Harel. A Visual Formalism for Complex Systems. In D. Draper, editor, Science of Computer Programming, 8(3):231-274, June 1987.",P,1987,Science of Computer Programming,EN,141,,
4514,"Edilmar L. Alves. Port System: Sistema de Comunica_x0018_c~ao em Grupo para o Ambiente Xchart. Master s thesis, DCC/IMECC/UNICAMP, Campinas/SP, Fevereiro 1996.",D,1996,Master,PT,142,,
4514,"F_x0013_abio N. Lucena, Carlos Neves J_x0013_unior, and Tallys H. Yunes. Descri_x0018_cão da Interface Homem-Computador do Spring usando Xchart, 1998. Em prepara_x0018_cão, http://www.dcc.unicamp.br/proj-xchart/spring/.",O,1998,,PT,143,,
4514,"F_x0013_abio Nogueira de Lucena. Xchart: Um Modelo de Especi_x000C_ca_x0018_cão e Implementa_x0018_c~ao de Gerenciadores de Di_x0013_alogo. PhD thesis, IC/UNICAMP, Campinas/SP, Dezembro 1997.",T,1997,,PT,144,,
4514,"Krishna Bharat and Marc. H. Brown. Building Distributed Multi-User Applications By Direct Manipulation. In Proceedings of ACM Symposium on User Interfaces Software and Tecnology, pages 71{82, Marina Del Ray, CA, November 1994.",C,1994,UIST,EN,145,,
4514,"Luca Cardelli. A Language with Distributed Scope. In Proceedings of the 22nd Annual ACM Symposium on Principles of Programming Languages, pages 286{297, January 1995.",C,1995,POPL,EN,146,,
4514,"Luciana de Paula Brito. Sistema de A_x0018_cões Atômicas Distribu_x0013__x0010_das para Xchart. Master s thesis, DCC/IMECC/UNICAMP, Campinas/SP, Novembro 1996.",D,1996,Mestrado,EN,147,,
4514,"M. Ali. A Better Way to State It. IEEE Computer, 28(12):72{74, December 1995.",P,1995,IEEE Computer,EN,148,,
4515,"Andersen, P. B. (1997). A Theory of Computer Semiotics. Updated ed. of 1990. New York: Cambridge University Press.",L,1997,Cambridge University,EN,149,,
4515,"Coelho Netto, J. T. (1996). Semiótica, Informação e Comunicação. 4.ed.. São Paulo: Editora Perspectiva.",L,1996,ed. perspectiva,PT,150,,
4515,"Eco, U. (1976). Tratado Geral de Semiótica. Trad. Antônio de Pádua Danesi e Gilson Cézar Cardoso de Souza (A Theory of Semiotics. Bloomington: Indiana University Press). São Paulo: Editora Perspectiva, 1980.",L,1980,editora perspectiva,PT,151,,
4515,"Hjelmslev, L. (1943). Prolégomènes a Une Théorie du Langage. Trad. Una Canger (Omkring Sprogteoriens Grundlæggelse. Copenhagen: Université Copenhagen, 1943. Imprimé en France pour Akademisk Forlag, 1968). Paris: Les Éditions de Minuit.",L,1968,Les Éditions de Minuit,FR,152,,
