"id_instituicao","instituicao","sigla","departamento","estado","pais"
109,"Universidad Nacional de La Plata","UNLP","","","Argentina"
46,"Instituto Baiano de Reabilitação","IBR","Instituto Baiano de Reabilitação","BA","Brasil"
175,"Universidade Estadual do Centro-Oeste","UNICENTRO","Departamento de Ciência da Computação","PR","Brasil"
174,"Universidade Estadual do Centro-Oeste","UNICENTRO","Ciência da Computação","PR","Brasil"
128,"Universidade de Mogi das Cruzes","UMC","","SP","Brasil"
108,"Universidad Nac. del Centro de la Pcia. de Buenos Aires","ISISTAN","ISISTAN Research Institute","1","Argentina"
16,"Consejo Nacional de Investigaciones Científicas y Técnicas","CONICET","","",""
73,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Department of Informatics","RJ","Brasil"
26,"Federal University of Amazonas","UFAM","Computing Institute","AM","Brasil"
50,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo","IFSP","","SP","Brasil"
279,"Universidade Tecnológica Federal do Paraná","UTFPR","","PR","Brasil"
116,"Universidade Cruzeiro do Sul","UNICSUL","","",""
234,"Universidade Federal do Ceará","UFC","Instituto Universidade Virtual","CE","Brasil"
1,"Centre for Learning and Teaching Through Technology University of Waterloo","","","1","Canadá"
38,"Grupo GRIHO Universidad de Lleida","","","1","Espanha"
13,"Companhia Hidro Elétrica do São Francisco","CHESF","","PE","Brasil"
94,"Tecnologico Autónomo de México","ITAM","Computer Science Department Instituto","","México"
191,"Universidade Federal de Mato Grosso","UFMT","Instituto de Linguagens","MT","Brasil"
51,"Instituto Federal de Mato Grosso","IFMT","Área de Linguagens","MT","Brasil"
77,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Depto. de Letras","RJ","Brasil"
206,"Universidade Federal de Santa Catarina","UFSC","CTC","SC","Brasil"
213,"Universidade Federal de Santa Catarina","UFSC","Programa de Pós Graduação em Ciência da Computação","SC","Brasil"
